"url","lastAccess","title","fromSitemap"
"https://www.tartley.com/posts/permanent-record/","09.07.2023","Permanent Record | tartley.com","YES"
"https://www.tartley.com/posts/lena/","09.07.2023","Lena | tartley.com","YES"
"https://www.tartley.com/posts/london-symphony-orchestras-brass-ensemble/","09.07.2023","London Symphony Orchestra's Brass Ensemble | tartley.com","YES"
"https://www.tartley.com/categories/culture/","09.07.2023","Posts about culture | tartley.com","YES"
"https://www.tartley.com/categories/terminal/","09.07.2023","Posts about terminal | tartley.com","YES"
"https://www.tartley.com/index-21.html","09.07.2023","tartley.com (old posts, page 21) | tartley.com","YES"
"https://www.tartley.com/posts/the-hacker-crackdown-law-and-disorder-on-the-electronic-frontier/","09.07.2023","The Hacker Crackdown : Law and Disorder on the Electronic Frontier | tartley.com","YES"
"https://www.tartley.com/posts/sunshine/","09.07.2023","Sunshine | tartley.com","YES"
"https://www.tartley.com/posts/soma/","09.07.2023","Soma | tartley.com","YES"
"https://www.tartley.com/posts/undocumented-feature-of-the-week-pip_download_cache/","09.07.2023","Undocumented feature of the week: $PIP_DOWNLOAD_CACHE | tartley.com","YES"
"https://www.tartley.com/posts/musicians-wake-up/","09.07.2023","Musicians : wake up! | tartley.com","YES"
"https://www.tartley.com/categories/epub/","09.07.2023","Posts about epub | tartley.com","YES"
"https://www.tartley.com/categories/mental-health/","09.07.2023","Posts about mental-health | tartley.com","YES"
"https://www.tartley.com/posts/the-incal/","09.07.2023","The Incal | tartley.com","YES"
"https://www.tartley.com/categories/write/","09.07.2023","Posts about write | tartley.com","YES"
"https://www.tartley.com/categories/rigid-body/","09.07.2023","Posts about rigid-body | tartley.com","YES"
"https://www.tartley.com/posts/configuration-vs-customisation/","09.07.2023","Configuration vs Customisation | tartley.com","YES"
"https://www.tartley.com/posts/housewarming/","09.07.2023","Housewarming | tartley.com","YES"
"https://www.tartley.com/posts/blink/","09.07.2023","Blink: The Power of Thinking Without Thinking | tartley.com","YES"
"https://www.tartley.com/posts/writing-cc-on-windows-using-g-under-cygwin/","09.07.2023","Writing C/C++ on Windows using g++ under Cygwin | tartley.com","YES"
"https://www.tartley.com/posts/power/","09.07.2023","Power | tartley.com","YES"
"https://www.tartley.com/posts/klara-and-the-sun/","09.07.2023","Klara and the Sun | tartley.com","YES"
"https://www.tartley.com/index-19.html","09.07.2023","tartley.com (old posts, page 19) | tartley.com","YES"
"https://www.tartley.com/posts/pyglet-week-2-better-vertex-throughput/","09.07.2023","pyglet week 2: Better Vertex Throughput | tartley.com","YES"
"https://www.tartley.com/posts/music-101/","09.07.2023","Music 101 | tartley.com","YES"
"https://www.tartley.com/categories/audiobook/","09.07.2023","Posts about audiobook | tartley.com","YES"
"https://www.tartley.com/posts/the-great-resolver-ide-anecdote/","09.07.2023","The Great Resolver IDE Anecdote | tartley.com","YES"
"https://www.tartley.com/categories/stirling/","09.07.2023","Posts about stirling | tartley.com","YES"
"https://www.tartley.com/categories/draw/","09.07.2023","Posts about draw | tartley.com","YES"
"https://www.tartley.com/categories/sustainability/","09.07.2023","Posts about sustainability | tartley.com","YES"
"https://www.tartley.com/posts/fame-at-last/","09.07.2023","Fame at last | tartley.com","YES"
"https://www.tartley.com/posts/result-of-mp-visit-i-suck/","09.07.2023","Result of MP visit - I suck | tartley.com","YES"
"https://www.tartley.com/posts/the-catcher-in-the-rye/","09.07.2023","The Catcher in the Rye | tartley.com","YES"
"https://www.tartley.com/posts/listen-to-your-phone-through-your-pc-speakers/","09.07.2023","Listen to your phone through your PC speakers | tartley.com","YES"
"https://www.tartley.com/posts/testing-extreme-programming/","09.07.2023","Testing Extreme Programming | tartley.com","YES"
"https://www.tartley.com/posts/minerva-metastasis/","09.07.2023","Minerva: Metastasis | tartley.com","YES"
"https://www.tartley.com/posts/a-short-history-of-nearly-everything/","09.07.2023","A Short History Of Nearly Everything | tartley.com","YES"
"https://www.tartley.com/posts/slaughterhouse-5/","09.07.2023","Slaughterhouse 5 | tartley.com","YES"
"https://www.tartley.com/posts/the-history-boys/","09.07.2023","The History Boys | tartley.com","YES"
"https://www.tartley.com/categories/completed/","09.07.2023","Posts about completed | tartley.com","YES"
"https://www.tartley.com/posts/flying-high-opengl-from-python-part-2/","09.07.2023","Flying High: OpenGL from Python, Part 2 | tartley.com","YES"
"https://www.tartley.com/posts/the-witches-heart/","09.07.2023","The Witch's Heart | tartley.com","YES"
"https://www.tartley.com/posts/creating-a-level-for-thief-2/","09.07.2023","Creating a Level for Thief 2 | tartley.com","YES"
"https://www.tartley.com/posts/battlestar-galactica-series-3/","09.07.2023","Battlestar Galactica: Series 3 | tartley.com","YES"
"https://www.tartley.com/posts/wall-e/","09.07.2023","Wall-E | tartley.com","YES"
"https://www.tartley.com/categories/command-line/","09.07.2023","Posts about command-line | tartley.com","YES"
"https://www.tartley.com/categories/make/","09.07.2023","Posts about make | tartley.com","YES"
"https://www.tartley.com/categories/fantasy/","09.07.2023","Posts about fantasy | tartley.com","YES"
"https://www.tartley.com/posts/pip-install-lightspeed-and-bulletproof/","09.07.2023","pip install : Lightspeed and Bulletproof | tartley.com","YES"
"https://www.tartley.com/categories/ps2/","09.07.2023","Posts about ps2 | tartley.com","YES"
"https://www.tartley.com/index-26.html","09.07.2023","tartley.com (old posts, page 26) | tartley.com","YES"
"https://www.tartley.com/posts/cloverfield-2008/","09.07.2023","Cloverfield (2008) | tartley.com","YES"
"https://www.tartley.com/posts/trans-speculative-ramblings/","09.07.2023","Trans-Speculative Ramblings | tartley.com","YES"
"https://www.tartley.com/posts/beginning-game-development-with-python-and-pygame/","09.07.2023","Beginning Game Development With Python and PyGame | tartley.com","YES"
"https://www.tartley.com/posts/northern-exposure/","09.07.2023","Northern Exposure | tartley.com","YES"
"https://www.tartley.com/posts/stretching-pyglets-wings/","09.07.2023","Stretching pyglet's Wings | tartley.com","YES"
"https://www.tartley.com/posts/my-objections-to-the-digital-economy-bill/","09.07.2023","My objections to the Digital Economy Bill | tartley.com","YES"
"https://www.tartley.com/posts/contact/","09.07.2023","Contact | tartley.com","YES"
"https://www.tartley.com/categories/pyglet/","09.07.2023","Posts about pyglet | tartley.com","YES"
"https://www.tartley.com/posts/scarface/","09.07.2023","Scarface | tartley.com","YES"
"https://www.tartley.com/categories/git/","09.07.2023","Posts about git | tartley.com","YES"
"https://www.tartley.com/posts/the-suze/","09.07.2023","The Suze... | tartley.com","YES"
"https://www.tartley.com/posts/fine-structure/","09.07.2023","Fine Structure | tartley.com","NO"
"https://www.tartley.com/posts/this-is-how-you-lose-the-time-war/","09.07.2023","This Is How You Lose the Time War | tartley.com","YES"
"https://www.tartley.com/posts/the-works-of-larry-niven/","09.07.2023","The Works of Larry Niven | tartley.com","YES"
"https://www.tartley.com/posts/the-expanse/","09.07.2023","The Expanse | tartley.com","YES"
"https://www.tartley.com/posts/othello-donmar-warehouse/","09.07.2023","Othello : Donmar Warehouse | tartley.com","YES"
"https://www.tartley.com/posts/three-parts-dead/","09.07.2023","Three Parts Dead | tartley.com","YES"
"https://www.tartley.com/posts/the-day-the-earth-stood-still/","09.07.2023","The Day The Earth Stood Still | tartley.com","YES"
"https://www.tartley.com/posts/lions-for-lambs/","09.07.2023","Lions for Lambs | tartley.com","YES"
"https://www.tartley.com/posts/termination-shock/","09.07.2023","Termination Shock | tartley.com","YES"
"https://www.tartley.com/posts/starship-troopers/","09.07.2023","Starship Troopers | tartley.com","YES"
"https://www.tartley.com/posts/circe/","09.07.2023","Circe | tartley.com","YES"
"https://www.tartley.com/posts/religion-at-last/","09.07.2023","Religion, at last. | tartley.com","YES"
"https://www.tartley.com/files/2008/03/tddbrookssilverbullet.pdf","09.07.2023","Test Driven Development: Brooks' Silver Bullet","NO"
"https://www.tartley.com/posts/countries-and-us-states-visited/","09.07.2023","Countries and US States visited | tartley.com","YES"
"https://www.tartley.com/posts/the-hothouse/","09.07.2023","The Hothouse | tartley.com","YES"
"https://www.tartley.com/categories/time-travel/","09.07.2023","Posts about time-travel | tartley.com","YES"
"https://www.tartley.com/posts/creating-animated-meme-gifs-on-the-command-line/","09.07.2023","TIL: Creating Animated Meme GIFs on the Command-Line | tartley.com","YES"
"https://www.tartley.com/posts/download-audio-from-youtube/","09.07.2023","TIL: Download audio from YouTube | tartley.com","YES"
"https://www.tartley.com/posts/first-post/","09.07.2023","First Post! | tartley.com","YES"
"https://www.tartley.com/posts/colorama-simple-cross-platform-python-api-for-colored-terminal-text/","09.07.2023","colorama: Simple cross-platform Python API for colored terminal text | tartley.com","YES"
"https://www.tartley.com/posts/git-when-to-use-three-dots-vs-two/","09.07.2023","TIL: When to use three dots vs two in Git | tartley.com","YES"
"https://www.tartley.com/posts/25-things-about-me/","09.07.2023","25 Things About Me | tartley.com","YES"
"https://www.tartley.com/index-14.html","09.07.2023","tartley.com (old posts, page 14) | tartley.com","YES"
